start station tag,end station tag,start time period,demand
1,2,0,0
1,2,1,4
1,2,2,4
1,2,3,3
1,2,4,3
1,2,5,2
1,2,6,2
1,2,7,2
1,2,8,1
1,2,9,2
1,2,10,1
1,2,11,1
1,2,12,1
1,2,13,1
1,2,14,1
1,2,15,1
1,2,16,1
1,2,17,1
1,2,18,1
1,2,19,1
1,2,20,1
1,2,21,1
1,2,22,1
1,2,23,1
1,2,24,1
1,2,25,1
1,2,26,1
1,2,27,0
1,2,28,0
1,2,29,0
1,2,30,0
1,2,31,1
1,2,32,1
1,2,33,1
1,2,34,1
1,2,35,1
1,2,36,2
1,2,37,6
1,2,38,6
1,2,39,6
1,2,40,8
1,2,41,7
1,2,42,13
1,2,43,17
1,2,44,11
1,2,45,14
1,2,46,11
1,2,47,7
1,2,48,6
1,2,49,6
1,2,50,7
1,2,51,8
1,2,52,11
1,2,53,13
1,2,54,14
1,2,55,13
1,2,56,11
1,2,57,12
1,2,58,11
1,2,59,10
1,2,60,11
1,2,61,8
1,2,62,8
1,2,63,7
1,2,64,7
1,2,65,7
1,2,66,7
1,2,67,7
1,2,68,7
1,2,69,9
1,2,70,9
1,2,71,9
1,2,72,9
1,2,73,8
1,2,74,8
1,2,75,10
1,2,76,9
1,2,77,11
1,2,78,11
1,2,79,10
1,2,80,10
1,2,81,10
1,2,82,10
1,2,83,12
1,2,84,12
1,2,85,13
1,2,86,13
1,2,87,14
1,2,88,13
1,2,89,14
1,2,90,12
1,2,91,14
1,2,92,12
1,2,93,12
1,2,94,12
1,2,95,11
1,2,96,11
1,2,97,12
1,2,98,17
1,2,99,12
1,2,100,11
1,2,101,13
1,2,102,14
1,2,103,17
1,2,104,19
1,2,105,16
1,2,106,18
1,2,107,22
1,2,108,20
1,2,109,23
1,2,110,25
1,2,111,24
1,2,112,22
1,2,113,22
1,2,114,19
1,2,115,17
1,2,116,17
1,2,117,18
1,2,118,15
1,2,119,17
1,2,120,15
1,2,121,12
1,2,122,12
1,2,123,11
1,2,124,11
1,2,125,11
1,2,126,11
1,2,127,10
1,2,128,10
1,2,129,9
1,2,130,8
1,2,131,9
1,2,132,8
1,2,133,9
1,2,134,9
1,2,135,9
1,2,136,9
1,2,137,9
1,2,138,9
1,2,139,7
1,2,140,6
1,2,141,5
1,2,142,6
1,2,143,4
1,2,144,4
1,3,0,0
1,3,1,2
1,3,2,2
1,3,3,2
1,3,4,2
1,3,5,2
1,3,6,2
1,3,7,2
1,3,8,1
1,3,9,1
1,3,10,1
1,3,11,2
1,3,12,1
1,3,13,2
1,3,14,1
1,3,15,1
1,3,16,1
1,3,17,1
1,3,18,1
1,3,19,1
1,3,20,1
1,3,21,1
1,3,22,1
1,3,23,1
1,3,24,0
1,3,25,1
1,3,26,0
1,3,27,0
1,3,28,0
1,3,29,1
1,3,30,0
1,3,31,0
1,3,32,1
1,3,33,1
1,3,34,4
1,3,35,6
1,3,36,4
1,3,37,6
1,3,38,12
1,3,39,7
1,3,40,6
1,3,41,7
1,3,42,6
1,3,43,11
1,3,44,9
1,3,45,14
1,3,46,15
